Service_Category,Service_Type,Link_to_Documentation,Google_Cloud_Product,Google_Cloud_Product_Description,AWS_Offering,Azure_Offering
Security & identity,Zero trust & secure enterprise browser,https://chromeenterprise.google/products/chrome-enterprise-premium/,Chrome Enterprise Premium,"Enable secure access to critical applications and services, with integrated threat and data protection.",,
Compute,Workload orchestration,https://cloud.google.com/batch,Batch,"A fully managed service that lets you schedule, queue, and run batch processing workloads for VMs or containers on Google Cloud at scale.",AWS Batch,Azure Batch
Data analytics,Workflow orchestration,https://cloud.google.com/products/spectrum-access-system,Cloud Composer,"Author, schedule, and monitor pipelines that span across hybrid and multi-cloud environments using this fully managed workflow orchestration service built on Apache Airflow.",Managed Workflows for Apache Airflow,Workflow Orchestration Manager for Azure Data Factory
Serverless,Workflow orchestration,https://cloud.google.com/workflows,Workflows,Orchestrate and automate Google Cloud and HTTP-based API services with serverless workflows.,AWS Step Functions,Azure Logic Apps
Networking,Wireless networking,https://cloud.google.com/products/spectrum-access-system,Spectrum Access System (SAS),Control spectrum access for a Citizens Broadband Radio Service Device (CBSD).,AWS Private 5G,
Networking,Wireless networking,https://cloud.google.com/telecom-network-automation,Telecom Network Automation,"Deliver carrier-grade, Kubernetes-based, multi-cloud, multi-vendor, and built-in cloud intent automation through common automation templates.",AWS Telco Network Builder,Azure for Operators
Networking,WAF and DDoS,https://cloud.google.com/armor,Google Cloud Armor,Help protect your applications and websites against denial of service and web attacks.,"AWS WAF, AWS Shield",Azure Web Application Firewall (WAF)
Networking,WAF and DDoS,https://cloud.google.com/armor,Google Cloud Armor Enterprise,Help protect your applications and websites against advanced denial of service and web attacks.,AWS Shield Advanced,Azure DDoS Protection
Compute,VMware connectivity,https://cloud.google.com/vmware-engine,Google Cloud VMware Engine,"A VMware-as-a-service platform that lets you migrate and run your VMware workloads on Google Cloud. It uses a global VPC design, optimizes your ownership costs, and provides high resiliency.",VMware Cloud on AWS,Azure VMware Solution
Networking,Virtual networks,https://cloud.google.com/nat/docs/overview,Cloud NAT,Provides managed network address translation service for Google Kubernetes Engine clusters or Compute Engine VMs to reach external or internal IP destinations from Google Cloud.,AWS NAT Gateways,Azure NAT Gateway
Networking,Virtual networks,https://cloud.google.com/vpc,Virtual Private Cloud (VPC),"Provide managed networking functionality for your cloud-based services running on Compute Engine VM instances, Google Kubernetes Engine, App Engine flexible environment instances, and other Google Cloud products built on Compute Engine VMs.",Amazon Virtual Private Cloud (VPC),Azure Virtual Network (VNet)
Artificial intelligence & machine learning,Video intelligence,https://cloud.google.com/video-intelligence/docs,Video Intelligence API,Quickly categorize video content using thousands of predefined labels and creating additional custom labels to suit your specific needs.,Amazon Rekognition Video,Azure Video Indexer
Generative AI services,Video generation,https://deepmind.google/technologies/veo/,Veo,Generate high-quality resolution videos in a wide range of cinematic and visual styles.,,Azure OpenAI Service
Security,User protection services,https://cloud.google.com/web-risk/docs/overview,Web Risk,Let your client applications check URLs against Google's frequently-updated lists of unsafe web resources.,,
Artificial intelligence & machine learning,Translation,https://cloud.google.com/translate,Translation AI,"Dynamically translate between languages using general, fine-tuned, or generative models.",Amazon Translate,Azure Translator
Data analytics,Stream data processing,https://cloud.google.com/dataflow,Dataflow,"Unify stream and batch data processing that's serverless, fast, and cost-effective.",AWS Kinesis Data Streams with Amazon Managed Service for Apache Flink,Azure Stream Analytics
Data analytics,Stream data processing,https://cloud.google.com/datastream,Datastream,"Synchronize data reliably, and with minimal latency, using a serverless change data capture (CDC) and replication service.","AWS Database Migration Service, Amazon Aurora zero-ETL integration with Amazon Redshift, AWS Glue",Azure Data Factory
